shipment_id,company_id,commodity,weight_kg,declared_value_usd,physical_value_usd,igm_quantity,bol_quantity,invoice_quantity,igm_value,bol_value,invoice_value,actual_origin_country,declared_origin_country,route,route_risk_score,account_age_days,company_trust_score,kyc_verified,submission_hour,burst_count,linked_company_id,shared_director_flag,pickup_attempts,driver_verified,risk_score,is_anomalous,fraud_type,temperature_celsius,volume_cbm
SHP0000076,COMP00134,electronics,2701,1235670.11,1269357.29,2675.6,2708.85,2711.34,1230786.14,1232382.14,1227937.8,Singapore,Singapore,Singapore → India,25,1197,63,0,14,1,,0,1,1,21,0,normal,,
SHP0000535,COMP00094,electronics,1685,411011.27,398598.85,1680.82,1681.92,1680.21,412417.94,411185.32,405253.45,Mumbai,Mumbai,Mumbai → Singapore,20,3433,70,1,9,1,,0,1,1,15,0,normal,,
SHP0000710,COMP00110,textiles,15503,355760.73,384534.76,16276.44,16258.33,16094.71,352013.15,362398.31,352793.41,Bangkok,Bangkok,Bangkok → India,38,127,53,1,5,14,,0,2,1,68,1,behavioral_anomaly,,
SHP0000610,COMP00056,machinery,5062,581899.8,859869.06,5021.96,5295.57,5112.25,599791.93,559168.23,575923.18,Istanbul,Istanbul,Istanbul → India,51,115,34,0,18,4,,0,2,0,66,1,undervaluation,,
SHP0000330,COMP00030,chemicals,505,25542.73,24589.84,497.39,505.19,499.87,25397.79,25792.8,25731.05,Mumbai,Mumbai,Mumbai → Singapore,20,618,56,1,17,2,,0,1,1,17,0,normal,,
SHP0000802,COMP00061,machinery,12084,2923342.01,2747946.71,10429.51,12100.58,13364.76,2715689.31,2954974.79,3343665.18,Bangkok,Vietnam,Bangkok → India,36,306,40,0,8,5,,0,1,1,48,1,origin_fraud,,
SHP0000164,COMP00060,machinery,5227,728527.38,758113.68,5189.68,5224.54,5169.72,732621.01,735506.4,731543.28,Rotterdam,Rotterdam,Rotterdam → India,15,237,65,1,12,1,,0,1,1,29,0,normal,,
SHP0000190,COMP00140,machinery,3508,332936.23,322668.24,3566.69,3480.06,3508.84,329218.7,329866.09,326757.18,Istanbul,Istanbul,Istanbul → India,40,2790,79,1,11,2,,0,1,1,28,0,normal,,
SHP0000525,COMP00071,electronics,2471,333152.41,343312.45,2517.19,2459.56,2470.49,327636.95,333546.44,333189.5,Mumbai,Mumbai,Mumbai → Singapore,20,3276,82,0,10,3,,0,1,1,5,0,normal,,
SHP0000118,COMP00119,electronics,1827,744128.65,743924.46,1815.29,1840.6,1830.28,751820.71,747910.43,729780.23,Hong Kong,Hong Kong,Hong Kong → India,30,3571,81,0,10,3,,0,1,1,26,0,normal,,
SHP0000513,COMP00021,chemicals,3108,588419.72,561810.28,3089.63,3130.16,3095.08,581338.84,587534.67,585725.99,Mumbai,Mumbai,Mumbai → Singapore,20,172,51,1,17,2,,0,1,1,19,0,normal,,
SHP0000944,COMP00056,gold,12,588149.62,570246.29,8.73,16.64,12.35,493042.52,748194.57,709834.94,Antwerp,Belgium,Antwerp → India,50,115,34,0,3,28,COMP00060,1,3,0,84,1,behavioral_anomaly,,
SHP0000421,COMP00005,chemicals,5227,191522.05,190715.75,5204.94,5265.37,5173.47,195097.65,193276.92,189588.69,Bangkok,Bangkok,Bangkok → India,28,201,66,1,12,3,,0,1,1,24,0,normal,,
SHP0000319,COMP00107,electronics,4937,2175618.31,2131531.91,4870.36,4954.34,4845.78,2186058.54,2184242.39,2150809.0,Mumbai,Mumbai,Mumbai → Singapore,20,997,64,0,9,2,,0,1,1,13,0,normal,,
SHP0000207,COMP00069,machinery,6660,385232.83,387073.65,6787.59,6667.39,6577.37,386499.22,382955.65,385536.46,Dubai,Dubai,Dubai → India,35,559,76,1,9,3,,0,1,1,14,0,normal,,
